anio,mes,areayacimiento,prod_pet,prod_gas,prod_agua,date,water_cut
2006,1,BAJADA DEL PALO,208.88299999999998,16.384,9.013,2006-01-01,0.04136376987186548
2006,1,BANDURRIA SUR,0.0,0.0,0.0,2006-01-01,
2006,1,BORDE MONTUOSO,0.0,0.0,0.0,2006-01-01,
2006,1,CENTENARIO CENTRO,0.0,0.0,0.0,2006-01-01,
2006,1,CHIHUIDO DE LA SIERRA NEGRA,0.0,0.0,0.0,2006-01-01,
2006,1,CORRALERA NORESTE,0.0,0.0,0.0,2006-01-01,
2006,1,CUPEN MAHUIDA,0.0,486.08,0.0,2006-01-01,
2006,1,EL SALITRAL,690.43,23681.489999999998,439.9,2006-01-01,0.3891783815345961
2006,1,EL TRIANGULO,0.0,0.0,0.0,2006-01-01,
2006,1,ESTACION FERNANDEZ ORO,0.0,0.0,0.0,2006-01-01,
2006,1,FORTIN DE PIEDRA,0.0,0.0,0.0,2006-01-01,
2006,1,GUANACO,0.0,0.0,0.0,2006-01-01,
2006,1,LINDERO ATRAVESADO ORIENTAL,10.2725,1059.65227,128.67546,2006-01-01,0.9260694435528236
2006,1,LOMA CAMPANA,0.0,0.0,0.0,2006-01-01,
2006,1,LOMA CAMPANA-LLL,0.0,0.0,0.0,2006-01-01,
2006,1,LOMA DE MARÍA,41.3,2043.59,101.0,2006-01-01,0.7097680955727336
2006,1,LOMA LA LATA,0.0,0.0,0.0,2006-01-01,
2006,1,MALAL DEL MEDIO,0.0,0.0,0.0,2006-01-01,
2006,1,MATA MORA NORTE,0.0,0.0,0.0,2006-01-01,
2006,1,MEDANO DE LA MORA,0.0,0.0,0.0,2006-01-01,
2006,1,NARAMBUENA,0.0,0.0,0.0,2006-01-01,
2006,1,PUESTO SIN NOMBRE,0.458,0.0,0.0,2006-01-01,0.0
2006,1,PUNTA SENILLOSA NC,0.0,376.42537000000004,0.0,2006-01-01,
2006,1,RINCON DE PIEDRA,0.0,0.0,0.0,2006-01-01,
2006,1,RINCON DEL MANGRULLO,15.219999999999999,339.94,106.33,2006-01-01,0.8747840394899219
2006,1,RIO NEUQUEN,79.213,2261.859,74.214,2006-01-01,0.48370886480215347
2006,1,SIERRA BARROSA,0.0,13.52,0.0,2006-01-01,
2006,1,SIERRA CHATA,16.2,2067.0,134.0,2006-01-01,0.8921438082556592
2006,2,BAJADA DEL PALO,184.93,13.954,6.096,2006-02-01,0.03191188634007936
2006,2,BANDURRIA SUR,0.0,0.0,0.0,2006-02-01,
2006,2,BORDE MONTUOSO,0.0,0.0,0.0,2006-02-01,
2006,2,CENTENARIO CENTRO,0.0,2.953,0.0,2006-02-01,
2006,2,CHIHUIDO DE LA SIERRA NEGRA,0.0,0.0,0.0,2006-02-01,
2006,2,CORRALERA NORESTE,0.0,0.0,0.0,2006-02-01,
2006,2,CUPEN MAHUIDA,0.0,2769.44,0.0,2006-02-01,
2006,2,EL CARACOL,0.0,0.0,0.0,2006-02-01,
2006,2,EL SALITRAL,576.3100000000001,19942.55,363.3,2006-02-01,0.38664978022796687
2006,2,EL TRIANGULO,0.0,0.0,0.0,2006-02-01,
2006,2,ESTACION FERNANDEZ ORO,0.0,0.0,0.0,2006-02-01,
2006,2,FORTIN DE PIEDRA,0.0,0.0,0.0,2006-02-01,
2006,2,GUANACO,0.0,0.0,0.0,2006-02-01,
2006,2,LINDERO ATRAVESADO ORIENTAL,9.36707,948.16232,124.67296,2006-02-01,0.930117368669643
2006,2,LOMA CAMPANA,0.0,0.0,0.0,2006-02-01,
2006,2,LOMA CAMPANA-LLL,0.0,0.0,0.0,2006-02-01,
2006,2,LOMA DE MARÍA,37.4,1931.34,88.4,2006-02-01,0.7027027027027026
2006,2,LOMA LA LATA,0.0,0.0,0.0,2006-02-01,
2006,2,MALAL DEL MEDIO,0.0,0.0,0.0,2006-02-01,
2006,2,MATA MORA NORTE,0.0,0.0,0.0,2006-02-01,
2006,2,MEDANO DE LA MORA,16.995,0.0,0.0,2006-02-01,0.0
2006,2,NARAMBUENA,0.0,0.0,0.0,2006-02-01,
2006,2,PUESTO SIN NOMBRE,39.262,0.0,0.0,2006-02-01,0.0
2006,2,PUNTA SENILLOSA NC,31.14145,495.90840000000003,59.93472,2006-02-01,0.6580724683525889
2006,2,RINCON DE PIEDRA,0.0,0.0,0.0,2006-02-01,
2006,2,RINCON DEL MANGRULLO,0.0,0.0,0.0,2006-02-01,
2006,2,RIO NEUQUEN,72.82300000000001,2326.3199999999997,41.086999999999996,2006-02-01,0.36069704152401016
2006,2,SIERRA BARROSA,0.0,257.4,0.0,2006-02-01,
2006,2,SIERRA CHATA,14.9,1847.0,112.0,2006-02-01,0.8825847123719464
2006,3,BAJADA DEL PALO,193.32,16.373,10.576,2006-03-01,0.05186958057048692
2006,3,BANDURRIA SUR,0.0,0.0,0.0,2006-03-01,
2006,3,BORDE MONTUOSO,0.0,0.0,0.0,2006-03-01,
2006,3,CENTENARIO CENTRO,0.0,49.8,0.0,2006-03-01,
2006,3,CHIHUIDO DE LA SIERRA NEGRA,0.0,0.0,0.0,2006-03-01,
2006,3,CORRALERA NORESTE,0.0,0.0,0.0,2006-03-01,
2006,3,CUPEN MAHUIDA,0.0,1701.2699999999998,0.0,2006-03-01,
2006,3,EL CARACOL,30.808,1.731,30.57,2006-03-01,0.4980611945648278
2006,3,EL SALITRAL,659.66,22099.69,452.73,2006-03-01,0.40698855617184626
2006,3,EL TRIANGULO,0.0,0.0,0.0,2006-03-01,
2006,3,ESTACION FERNANDEZ ORO,0.0,0.0,0.0,2006-03-01,
2006,3,FORTIN DE PIEDRA,0.0,0.0,0.0,2006-03-01,
2006,3,GUANACO,0.0,0.0,0.0,2006-03-01,
2006,3,LINDERO ATRAVESADO ORIENTAL,10.49502,1043.54893,139.33072,2006-03-01,0.9299518226974883
2006,3,LOMA CAMPANA,0.0,0.0,0.0,2006-03-01,
2006,3,LOMA CAMPANA-LLL,0.0,0.0,0.0,2006-03-01,
2006,3,LOMA DE MARÍA,51.8,2118.59,38.3,2006-03-01,0.4250832408435072
2006,3,LOMA LA LATA,0.0,0.0,0.0,2006-03-01,
2006,3,MALAL DEL MEDIO,0.0,0.0,0.0,2006-03-01,
2006,3,MATA MORA NORTE,0.0,0.0,0.0,2006-03-01,
2006,3,MEDANO DE LA MORA,0.0,0.0,0.0,2006-03-01,
2006,3,NARAMBUENA,0.0,0.0,0.0,2006-03-01,
2006,3,PUESTO SIN NOMBRE,40.0,0.0,0.0,2006-03-01,0.0
2006,3,PUNTA SENILLOSA NC,24.238107,307.72589,33.89093,2006-03-01,0.5830292698638719
2006,3,RINCON DE PIEDRA,0.0,0.0,0.0,2006-03-01,
2006,3,RINCON DEL MANGRULLO,47.18,718.59,70.04,2006-03-01,0.5975089575157824
2006,3,RIO NEUQUEN,48.577,2300.093,23.809,2006-03-01,0.32891719393252844
2006,3,SIERRA BARROSA,0.0,414.3,0.0,2006-03-01,
2006,3,SIERRA CHATA,15.9,2020.52,124.0,2006-03-01,0.8863473909935669
2006,4,BAJADA DEL PALO,204.459,15.914,8.733,2006-04-01,0.04096307553754362
2006,4,BANDURRIA SUR,0.0,0.0,0.0,2006-04-01,
2006,4,BORDE MONTUOSO,0.0,0.0,0.0,2006-04-01,
2006,4,CENTENARIO CENTRO,0.0,41.592,0.0,2006-04-01,
2006,4,CHIHUIDO DE LA SIERRA NEGRA,0.0,0.0,0.0,2006-04-01,
2006,4,CORRALERA NORESTE,0.0,0.0,0.0,2006-04-01,
2006,4,CUPEN MAHUIDA,0.0,1832.72,0.0,2006-04-01,
2006,4,EL CARACOL,76.609,3.713,46.479,2006-04-01,0.3776078902898739
2006,4,EL SALITRAL,641.8,21554.99,469.23,2006-04-01,0.4223378306616383
2006,4,EL TRIANGULO,0.0,0.0,0.0,2006-04-01,
2006,4,ESTACION FERNANDEZ ORO,0.0,0.0,0.0,2006-04-01,
2006,4,FORTIN DE PIEDRA,0.0,0.0,0.0,2006-04-01,
2006,4,GUANACO,0.0,0.0,0.0,2006-04-01,
2006,4,LINDERO ATRAVESADO ORIENTAL,9.55692,948.92414,90.95125,2006-04-01,0.9049139985336515
2006,4,LOMA CAMPANA,0.0,0.0,0.0,2006-04-01,
2006,4,LOMA CAMPANA-LLL,0.0,0.0,0.0,2006-04-01,
2006,4,LOMA DE MARÍA,54.5,2024.44,32.2,2006-04-01,0.37139561707035756
2006,4,LOMA LA LATA,0.0,0.0,0.0,2006-04-01,
2006,4,MALAL DEL MEDIO,0.0,0.0,0.0,2006-04-01,
2006,4,MATA MORA NORTE,0.0,0.0,0.0,2006-04-01,
2006,4,MEDANO DE LA MORA,8.0,0.0,0.0,2006-04-01,0.0
2006,4,NARAMBUENA,0.0,0.0,0.0,2006-04-01,
2006,4,PUESTO SIN NOMBRE,0.0,0.0,0.0,2006-04-01,
2006,4,PUNTA SENILLOSA NC,31.284196,365.71305,28.10803,2006-04-01,0.4732610964943459
2006,4,RINCON DE PIEDRA,0.0,0.0,0.0,2006-04-01,
2006,4,RINCON DEL MANGRULLO,0.0,0.0,0.0,2006-04-01,
2006,4,RIO NEUQUEN,47.868,2167.563,20.05,2006-04-01,0.2952089284136753
2006,4,SIERRA BARROSA,0.0,55.81,0.0,2006-04-01,
2006,4,SIERRA CHATA,14.6,1920.3000000000002,120.0,2006-04-01,0.8915304606240714
2006,5,BAJADA DEL PALO,189.331,14.814,10.472,2006-05-01,0.0524116254510693
2006,5,BANDURRIA SUR,0.0,0.0,0.0,2006-05-01,
2006,5,BORDE MONTUOSO,1.5,0.0,1.0,2006-05-01,0.4
2006,5,CENTENARIO CENTRO,0.0,37.4,0.0,2006-05-01,
2006,5,CHIHUIDO DE LA SIERRA NEGRA,0.0,0.0,0.0,2006-05-01,
2006,5,CORRALERA NORESTE,0.0,0.0,0.0,2006-05-01,
2006,5,CUPEN MAHUIDA,0.0,3123.77,0.0,2006-05-01,
2006,5,EL CARACOL,63.273,4.202,50.536,2006-05-01,0.444042211072938
2006,5,EL SALITRAL,826.87,24012.72,820.53,2006-05-01,0.49807575573631174
2006,5,EL TRIANGULO,0.0,0.0,0.0,2006-05-01,
2006,5,ESTACION FERNANDEZ ORO,0.0,0.0,0.0,2006-05-01,
2006,5,FORTIN DE PIEDRA,0.0,0.0,0.0,2006-05-01,
2006,5,GUANACO,0.0,0.0,0.0,2006-05-01,
2006,5,LINDERO ATRAVESADO ORIENTAL,12.07184,1039.18604,104.23096,2006-05-01,0.8962033588185323
2006,5,LOMA CAMPANA,0.0,0.0,0.0,2006-05-01,
2006,5,LOMA CAMPANA-LLL,0.0,0.0,0.0,2006-05-01,
2006,5,LOMA DE MARÍA,54.7,2128.6,31.4,2006-05-01,0.36469221835075494
2006,5,LOMA LA LATA,0.0,0.0,0.0,2006-05-01,
2006,5,MALAL DEL MEDIO,0.0,0.0,0.0,2006-05-01,
2006,5,MATA MORA NORTE,0.0,0.0,0.0,2006-05-01,
2006,5,MEDANO DE LA MORA,4.0,0.0,0.0,2006-05-01,0.0
2006,5,NARAMBUENA,0.0,0.0,0.0,2006-05-01,
2006,5,PUESTO SIN NOMBRE,42.0,0.0,0.0,2006-05-01,0.0
2006,5,PUNTA SENILLOSA NC,26.768152,327.72433,27.714620000000004,2006-05-01,0.5086859383733265
2006,5,RINCON DE PIEDRA,0.0,0.0,0.0,2006-05-01,
2006,5,RINCON DEL MANGRULLO,72.36,1984.12,116.09,2006-05-01,0.616025470947201
2006,5,RIO NEUQUEN,72.82300000000001,2326.3199999999997,41.087,2006-05-01,0.36069704152401016
2006,5,SIERRA BARROSA,0.0,38.71,0.0,2006-05-01,
2006,5,SIERRA CHATA,15.3,1936.63,124.0,2006-05-01,0.8901651112706388
2006,6,BAJADA DEL PALO,192.445,13.579,8.866,2006-06-01,0.04404130921807552
2006,6,BANDURRIA SUR,0.0,0.0,0.0,2006-06-01,
2006,6,BORDE MONTUOSO,0.0,0.0,0.0,2006-06-01,
2006,6,CENTENARIO CENTRO,0.0,38.64,0.0,2006-06-01,
2006,6,CHIHUIDO DE LA SIERRA NEGRA,0.0,0.0,0.0,2006-06-01,
2006,6,CORRALERA NORESTE,0.0,0.0,0.0,2006-06-01,
2006,6,CUPEN MAHUIDA,0.0,5491.47,0.0,2006-06-01,
2006,6,EL CARACOL,55.043,4.373,52.062,2006-06-01,0.48608374959152234
2006,6,EL SALITRAL,755.25,22345.8,662.32,2006-06-01,0.4672220772166454
2006,6,EL TRIANGULO,0.0,0.0,0.0,2006-06-01,
2006,6,ESTACION FERNANDEZ ORO,0.0,0.0,0.0,2006-06-01,
2006,6,FORTIN DE PIEDRA,0.0,0.0,0.0,2006-06-01,
2006,6,GUANACO,0.0,0.0,0.0,2006-06-01,
2006,6,LINDERO ATRAVESADO ORIENTAL,12.34204,1023.16647,94.63622,2006-06-01,0.8846303912589343
2006,6,LOMA CAMPANA,0.0,0.0,0.0,2006-06-01,
2006,6,LOMA CAMPANA-LLL,0.0,0.0,0.0,2006-06-01,
2006,6,LOMA DE MARÍA,44.8,1994.3,38.4,2006-06-01,0.46153846153846156
2006,6,LOMA LA LATA,0.0,0.0,0.0,2006-06-01,
2006,6,MALAL DEL MEDIO,0.0,0.0,0.0,2006-06-01,
2006,6,MATA MORA NORTE,0.0,0.0,0.0,2006-06-01,
2006,6,MEDANO DE LA MORA,0.0,0.0,0.0,2006-06-01,
2006,6,NARAMBUENA,0.0,0.0,0.0,2006-06-01,
2006,6,PUESTO SIN NOMBRE,48.0,0.0,0.0,2006-06-01,0.0
2006,6,PUNTA SENILLOSA NC,39.430113,396.4871,32.55811,2006-06-01,0.4522699497666444
2006,6,RINCON DE PIEDRA,0.0,0.0,0.0,2006-06-01,
2006,6,RINCON DEL MANGRULLO,7.5,525.43,11.87,2006-06-01,0.6128033040784719
2006,6,RIO NEUQUEN,167.985,2164.613,79.773,2006-06-01,0.32197951226600147
2006,6,SIERRA BARROSA,0.0,41.43,0.0,2006-06-01,
2006,6,SIERRA CHATA,14.5,1793.77,120.0,2006-06-01,0.8921933085501859
2006,7,BAJADA DEL PALO,151.851,14.181,11.221,2006-07-01,0.06881009615384616
2006,7,BANDURRIA SUR,0.0,0.0,0.0,2006-07-01,
2006,7,BORDE MONTUOSO,0.0,0.0,0.0,2006-07-01,
2006,7,CENTENARIO CENTRO,0.0,43.8,0.0,2006-07-01,
2006,7,CHIHUIDO DE LA SIERRA NEGRA,0.0,0.0,0.0,2006-07-01,
2006,7,CORRALERA NORESTE,0.0,0.0,0.0,2006-07-01,
2006,7,CUPEN MAHUIDA,0.0,4387.450000000001,0.0,2006-07-01,
2006,7,EL CARACOL,58.862,3.732,45.718,2006-07-01,0.43715815643526484
2006,7,EL SALITRAL,804.79,23339.87,643.07,2006-07-01,0.44415205890072246
2006,7,EL TRIANGULO,0.0,0.0,0.0,2006-07-01,
2006,7,ESTACION FERNANDEZ ORO,0.0,0.0,0.0,2006-07-01,
