empresa,prod_pet,prod_gas
YPF S.A.,75567883.729,84337483.07
VISTA ENERGY ARGENTINA SAU,12425818.893888,1452134.831696026
SHELL ARGENTINA S.A.,9083926.61,1374349.46
PAN AMERICAN ENERGY SL,6946787.505024,17047916.689537
PLUSPETROL S.A.,4338600.357301837,16351649.24331929
TECPETROL S.A.,3779531.579842,41501280.65327
VISTA OIL & GAS ARGENTINA SAU,2353554.176,286026.731
EXXONMOBIL EXPLORATION ARGENTINA S.R.L.,2060061.54,2216366.18117
KILWER S.A.,1851707.40592,133730.883106
CHEVRON ARGENTINA S.R.L.,1761070.6,1066593.36384
TOTAL AUSTRAL S.A.,1449853.9968360001,26163133.068680193
PLUSPETROL CUENCA NEUQUINA S.R.L.,1038777.6,503020.02
PAMPA ENERGIA S.A.,935936.832003,22715040.758711
YSUR ENERGÍA ARGENTINA S.R.L.,712936.061,3823285.151
APACHE ENERGIA ARGENTINA S.R.L.,553355.502,5623244.7628
O&G DEVELOPMENTS LTD S.A.,551471.7418045414,69229.0663138498
PETROLERA EL TREBOL S.A.,549813.909034,32699.37990875
CAPEX S.A.,541067.38,4635500.98
PAN AMERICAN ENERGY (SUCURSAL ARGENTINA) LLC,235268.589779,4679722.428374
WINTERSHALL DEA ARGENTINA S.A,140359.74,19413.838
VACA MUERTA INVERSIONES SAU,136738.07,57105.23
PETROBRAS ARGENTINA S.A.,127447.153674,7247928.595897
PHOENIX GLOBAL RESOURCES S.A.,103432.97469,6210.942092
WINTERSHALL ENERGIA S.A.,100876.86,36856.28375
Vista Oil & Gas Argentina SA,99346.232,11786.836
PETROLERA ENTRE LOMAS S.A.,93803.269132,29474.469824549
QUINTANA E&P ARGENTINA S.R.L.,59231.084,279142.985
PETROQUIMICA COMODORO RIVADAVIA S.A.,41375.13956,9518.452737
AMERICAS PETROGAS ARGENTINA S.A.,32911.855,11089.740099999999
MEDANITO S.A.,19033.57865,7067.422528
GEOPARK ARGENTINA LTD. (SUCURSAL ARGENTINA),18922.214,1729.29964
OILSTONE ENERGIA S.A.,13788.837484,368075.90023164114
GEOPARK ARGENTINA S.A.,13697.314,1163.9872
Petrolera Aconcagua Energia S.A.,8215.179490905999,80729.32548661101
ROCH S.A.,4329.204623,152.8565
GRECOIL y CIA. S.R.L.,4109.248,338.69
BENTIA ENERGY S.A.,3187.023,43219.1209
VENOIL S.A.,2692.37,2407.41
FLXS OGE S.A ,2494.773861,64755.414086
PATAGONIA ENERGY S.A.,1912.949,915.7689
G Y G OIL SERVICE SRL,1390.26,613.64
MADALENA AUSTRAL S.A.,1180.6389159999999,215.367
CAPETROL ARGENTINA S.A.,724.1,441.9
GAS Y PETROLEO DEL NEUQUEN S.A.,617.75,4126.61633
COMPAÑÍA GENERAL DE COMBUSTIBLES S.A.,540.471,68034.1163
ARGENTA ENERGIA S.A.,161.0,64.14
PRESIDENT PETROLEUM S.A.,95.341344981,53530.385940765
CONTINENTAL RESOURCES ARGENTINA SAU.,0.0,0.0
MADALENA ENERGY ARGENTINA SRL ,0.0,0.0
ENERGICON S.A.,0.0,0.0
APCO OIL AND GAS INTERNATIONAL INC (SUCURSAL ARGENTINA),0.0,0.0
