deposit,lat,lon
AGUA DE AFUERA,-37.367406480294115,-69.18286923183824
AGUA DEL CAJON,-38.84652401772084,-68.42421440319833
AGUADA CÁNEPA,-38.06708358263305,-68.49074031652661
AGUADA DE CASTRO,-38.26241367542504,-69.58462069706337
AGUADA DE LA ARENA,-38.202586132065164,-69.14167191180242
AGUADA DEL CHIVATO,-37.47843088235294,-69.00986378947368
AGUADA DEL PONCHO,-38.15165,-68.65566
AGUADA FEDERAL,-38.09446816932407,-68.73018942330806
AGUADA LOS LOROS,-37.68139465915493,-69.33811503943662
AGUADA PICHANA ESTE MULICHINCO,-38.288950348489706,-69.23691413664784
AGUADA PICHANA ESTE VACA MUERTA,-38.38484954980457,-69.18797754736667
AGUADA PICHANA OESTE,-38.465211661723444,-69.372907650501
AGUADA SAN ROQUE,-37.9971039,-68.8807631
AGUADA VILLANUEVA,-38.77244538,-69.2838112491228
AGUILA MORA,-37.69421954091248,-69.08616763875233
ANGOSTURA,-38.336892428823525,-67.59017134595022
ANTICLINAL CAMPAMENTO,-38.992582316831395,-69.71899494255814
ANTICLINAL CAMPAMENTO OESTE,-38.9626582633286,-69.79558723432292
ANTICLINAL CAMPAMENTO SUR,-39.01895222377778,-69.71703904059828
BAJADA DE AÑELO,-38.20000042447032,-69.01083264519015
BAJADA DEL PALO,-38.13414,-68.33853
BAJADA DEL PALO ESTE,-38.1828873089394,-68.41018198220539
BAJADA DEL PALO OESTE,-38.20071196082927,-68.59602392623229
BAJO DEL CHOIQUE,-37.6927549469021,-69.14517454565892
BAJO DEL TORO,-37.550168491,-69.08362590136365
BAJO DEL TORO NORTE,-37.53367555500938,-69.07990764290807
BAJO GUANACO,-38.796328819075,-69.75156111836
BANDURRIA CENTRO,-38.17999701589878,-68.83273850411868
BANDURRIA NORTE,-38.12522969335449,-69.01390716486561
BANDURRIA SUR,-38.29004902959034,-68.71146593975034
BARDA GONZALEZ,-38.84231503104396,-69.12400428763736
BARREALES COLORADOS,-38.44703788,-68.84713934
BARROSA NORTE,-38.70963336417269,-68.8788042004217
BORDE MONTUOSO,-38.21291,-68.52859
CAMPAMENTO DOS,-38.92621911,-69.12946551
CENTENARIO CENTRO,-38.91639886554077,-68.22784640277114
CERRO ARENA,-37.9442623381336,-69.6412993272888
CERRO AVISPA,-37.773758199999996,-68.54005585
CERRO LAS MINAS,-37.657,-69.6089
CERRO LAS NIÑAS,-37.62089901599727,-69.42433324952992
CERRO MANRIQUE,-38.86210519,-67.67916023
CERRO PARTIDO,-38.64398342,-69.80531259
CHALLACO,-38.98370477,-68.9098241
CHARCO BAYO,-38.179535356900026,-68.10399236354482
CHIHUIDO DE LA SIERRA NEGRA,-37.29563711160714,-69.20720822098214
CINCO SALTOS,-38.47493,-68.176387
CN VII A,-37.08545683,-69.47660985
COIRON AMARGO SUR ESTE,-38.37413785197851,-68.38560437290771
COIRON AMARGO SUR OESTE,-38.40510033567374,-68.47865996084067
CONFLUENCIA NORTE,-38.454021000000004,-68.24901100000001
CONFLUENCIA SUR,-38.52972,-68.248425
CORRALERA NORESTE,-37.21735847222222,-69.35150569444446
CORRALERA SUR,-37.25994,-69.54396
CORTADERA,-38.067634,-69.9033841
CRUZ DE LORENA,-38.36537733220507,-68.52007804366049
CUPEN,-38.74318811,-68.94990251
CUPEN MAHUIDA,-38.75251637822241,-68.91184039413167
CURAMCHED,-37.38617,-69.54439
CURAMHUELE,-37.39633967951,-69.724610618979
EL CARACOL,-37.95417,-68.45238999999998
EL CORDON OESTE,-38.63025870011858,-68.72793610162054
EL MANGRULLO,-38.74936725799097,-69.25437583197473
EL OREJANO,-37.98268386648611,-69.21495061830754
EL SALITRAL,-38.91756658887338,-68.32031609998954
EL TRAPIAL,-37.46204012280702,-69.36700237037037
EL TRAPIAL ESTE,-37.47997874287643,-69.375226170155
EL TRIANGULO,-38.7205,-68.8151
ESTACION FERNANDEZ ORO,-39.015995984947196,-67.84174608913862
FILO MORADO,-37.33857172370043,-69.62595770462555
FORTIN DE PIEDRA,-38.51058726213979,-69.07550098436938
GUANACO,-38.8645534987285,-69.23893366410533
HUACALERA,-38.20704866,-69.79045203
HUINCUL,-38.88727200148438,-69.16837213882812
JARILLA QUEMADA,-38.46075,-67.96379
LA AMARGA CHICA,-38.221785083989325,-68.63610218526986
LA ANGOSTURA SUR I,-38.71745539126327,-68.676973355
LA ANGOSTURA SUR II,-38.63974914514563,-68.67684869993528
LA CALERA,-38.34314616657207,-69.00769429081936
LA ESCALONADA,-37.6648410543425,-69.23109394207951
LA ESPERANZA,-39.00866388,-68.85435948
LA INVERNADA,-37.564147,-69.278317
LA RIBERA BLOQUE I,-38.430536916022135,-69.0130390061849
LA RIBERA BLOQUE II,-38.61739025,-69.11710565
LAS CHIVAS NC,-38.85814,-68.647945
LAS MANADAS,-37.78201326333333,-69.09369170666666
LAS TACANAS,-38.68958084461187,-69.37933872789954
LINDERO ATRAVESADO OCCIDENTAL,-38.6223428473613,-68.50798076752368
LINDERO ATRAVESADO ORIENTAL,-38.73086597017846,-68.28393154453663
LOMA AMARILLA,-37.793,-68.7597
LOMA AMARILLA SUR,-37.849851483367004,-68.72928497077442
LOMA ANCHA,-37.91573657521768,-69.47662949944068
LOMA CAMPANA,-38.35262878287246,-68.60542627120822
LOMA CAMPANA-LLL,-38.334890782119466,-68.81981247336262
LOMA COLORADA,-38.10662541142619,-68.54362056178482
LOMA DE MARÍA,-38.839739714123084,-67.66555099976209
LOMA DEL MOLLE,-37.57040019648829,-69.58657364347827
LOMA JARILLOSA ESTE,-38.254001960957005,-68.41082759712899
LOMA LA LATA,-38.50422741775362,-68.86211150418478
LOMA NEGRA NI,-38.901709636600444,-69.38910975304636
LOMA RANQUELES,-37.703625299411506,-69.69626450685213
LOS CALDENES,-38.45616873269407,-67.9800760409589
LOS TOLDOS ESTE,-37.463066075362825,-69.13804071962203
MALAL DEL MEDIO,-36.206,-69.6204
MATA MORA NORTE,-38.48748295718232,-68.34527235220995
MEDANO DE LA MORA,-38.22552010718813,-68.65947833523263
MESETA BUENA ESPERANZA,-38.65459156890909,-69.1400492409091
NARAMBUENA,-37.425517621100326,-69.07606857970875
NORTE DEL OCTOGONO,-38.88606848251816,-69.16430586995965
PAMPA DE LAS YEGUAS I,-37.69642312706995,-69.29327878672969
PAMPA DE LAS YEGUAS II,-37.93449,-69.13419
PARVA NEGRA,-37.95673,-69.2867
PARVA NEGRA ESTE,-37.95425425,-69.28531167
PARVA NEGRA OESTE,-37.80908152289157,-69.53718051759037
PASO DE INDIOS,-38.447991794066,-68.97136964867
PASO DE LAS BARDAS NORTE,-37.14227200564444,-69.4852346308
PAYUN OESTE,-36.8512,-69.4631
POZOS SIN YACIMIENTO,-37.601639722,-68.980495278
PUESTO PARADA,-38.81864278028915,-68.65891660141926
PUESTO PARADA NC,-38.84425449526,-68.577909386821
PUESTO ROJAS,-35.243623102926335,-69.71404936932392
PUESTO SILVA OESTE,-38.42501583333333,-68.26269922275641
PUESTO SIN NOMBRE,-38.19995,-68.45236
PUESTO VERA,-38.834815061,-68.6305057059
PUNTA SENILLOSA NC,-38.87667738161157,-68.58049024586776
RANQUIL CO,-39.082292214544644,-69.19209154802678
RINCON DE ARANDA,-38.00747759626984,-68.60400516267858
RINCON DE PIEDRA,-38.61521714,-69.36339182
RINCON DEL MANGRULLO,-38.578333304895935,-69.3243849316654
RINCON LA CENIZA,-37.84496569337536,-69.21531163144985
RIO ATUEL,-35.26328,-69.72689
RIO NEUQUEN,-38.7170996280047,-68.24160278999324
SAN ROQUE VACA MUERTA,-38.00465659408163,-68.99017081302235
SIERRA BARROSA,-38.74828193462051,-68.92888578694873
SIERRA BARROSA ESTE,-38.70213515,-68.78064256
SIERRA CHATA,-38.131072455822576,-69.28998368594422
SIERRAS BLANCAS,-38.48004614090737,-68.47071293121121
TOTORAL,-39.35832,-69.80366
VEGA GRANDE,-34.66911,-69.66371
