ds,deposit,yhat,actual
2022-10-01,LOMA CAMPANA,155456.37914491442,158952.81
2022-11-01,LOMA CAMPANA,148335.83509016075,150306.67
2022-12-01,LOMA CAMPANA,142009.3179122677,148432.11000000002
2023-01-01,LOMA CAMPANA,136342.81965044863,127219.95999999999
2023-02-01,LOMA CAMPANA,131231.69458077737,114888.54
2023-03-01,LOMA CAMPANA,126592.9161497543,125886.68
2023-04-01,LOMA CAMPANA,122359.68391283079,123675.11
2023-05-01,LOMA CAMPANA,118477.58332113159,122059.34
2023-06-01,LOMA CAMPANA,114901.79730632671,114929.88
2023-07-01,LOMA CAMPANA,111595.04607095673,119497.31
2023-08-01,LOMA CAMPANA,108526.0410038936,112898.73
2023-09-01,LOMA CAMPANA,105668.30800773353,107151.91
2023-10-01,LOMA CAMPANA,102999.28050146163,108836.38
2023-11-01,LOMA CAMPANA,100499.59214408945,98264.62
2023-12-01,LOMA CAMPANA,98152.51942581178,92311.62
2024-01-01,LOMA CAMPANA,95943.53807740305,90011.9
2024-02-01,LOMA CAMPANA,93859.96688025419,82230.6
2024-03-01,LOMA CAMPANA,91890.67927851417,87744.88
2024-04-01,LOMA CAMPANA,90025.86808785672,87805.04
2024-05-01,LOMA CAMPANA,88256.85215030328,102799.26
2024-06-01,LOMA CAMPANA,86575.91639715873,97979.56
2024-07-01,LOMA CAMPANA,84976.17872289341,97910.2
2024-08-01,LOMA CAMPANA,83451.4785289657,93394.68000000001
2024-09-01,LOMA CAMPANA,81996.28289937307,85906.95
2024-10-01,LOMA CAMPANA,80605.6072122295,81530.14
2024-11-01,LOMA CAMPANA,79274.94764062513,60185.02
2024-12-01,LOMA CAMPANA,78000.2234997694,64988.32
2025-01-01,LOMA CAMPANA,76777.72779129549,95815.43000000001
2025-02-01,LOMA CAMPANA,75604.08460569635,110094.3
2025-03-01,LOMA CAMPANA,74476.21228958166,122422.6
2025-04-01,LOMA CAMPANA,73391.29148035399,106820.13
2025-05-01,LOMA CAMPANA,72346.73726801218,102898.09
2025-06-01,LOMA CAMPANA,71340.17487048147,97112.12
2025-07-01,LOMA CAMPANA,70369.41831157368,97131.94
2025-08-01,LOMA CAMPANA,69432.4516743555,86621.25
2025-09-01,LOMA CAMPANA,68527.4125712002,89974.20999999999
2025-10-01,LOMA CAMPANA,67652.57752812872,99559.13
2025-11-01,LOMA CAMPANA,66806.34902757092,112275.19
2025-12-01,LOMA CAMPANA,65987.24399226629,123034.88
2026-01-01,LOMA CAMPANA,65193.883525155485,121930.23
2026-02-01,LOMA CAMPANA,64424.98374697344,107231.33
2026-03-01,LOMA CAMPANA,63679.347595788175,112710.39
2018-01-01,ESTACION FERNANDEZ ORO,24729.833517108655,27347.678
2018-02-01,ESTACION FERNANDEZ ORO,24260.726499013937,21138.386
2018-03-01,ESTACION FERNANDEZ ORO,23800.518101970956,23168.449
2018-04-01,ESTACION FERNANDEZ ORO,23349.03952555307,23145.099
2018-05-01,ESTACION FERNANDEZ ORO,22906.125171356376,23723.145
2018-06-01,ESTACION FERNANDEZ ORO,22471.612582259633,23006.77
2018-07-01,ESTACION FERNANDEZ ORO,22045.342382836396,21526.091
2018-08-01,ESTACION FERNANDEZ ORO,21627.15822089745,20743.41
2018-09-01,ESTACION FERNANDEZ ORO,21216.906710142204,21106.64
2018-10-01,ESTACION FERNANDEZ ORO,20814.43741782108,18879.2
2018-11-01,ESTACION FERNANDEZ ORO,20419.60263301596,18886.77
2018-12-01,ESTACION FERNANDEZ ORO,20032.257578548237,18545.39
2019-01-01,ESTACION FERNANDEZ ORO,19652.260179635054,18784.85
2019-02-01,ESTACION FERNANDEZ ORO,19279.471056549988,15434.44
2019-03-01,ESTACION FERNANDEZ ORO,18913.753473499783,16673.19
2019-04-01,ESTACION FERNANDEZ ORO,18554.97328847081,15602.99
2019-05-01,ESTACION FERNANDEZ ORO,18202.998904026957,17690.49
2019-06-01,ESTACION FERNANDEZ ORO,17857.701219040802,18585.97
2019-07-01,ESTACION FERNANDEZ ORO,17518.95358134041,19468.45
2019-08-01,ESTACION FERNANDEZ ORO,17186.631741254456,21168.85
2019-09-01,ESTACION FERNANDEZ ORO,16860.61380603845,20290.67
2019-10-01,ESTACION FERNANDEZ ORO,16540.780195165586,20241.91
2019-11-01,ESTACION FERNANDEZ ORO,16227.01359646558,18378.73
2019-12-01,ESTACION FERNANDEZ ORO,15919.198923095604,19621.77
2020-01-01,ESTACION FERNANDEZ ORO,15617.223271327419,19469.05
2020-02-01,ESTACION FERNANDEZ ORO,15320.975879135252,16088.34
2020-03-01,ESTACION FERNANDEZ ORO,15030.348117286696,16987.07
2020-04-01,ESTACION FERNANDEZ ORO,14745.233322015314,16712.44
2020-05-01,ESTACION FERNANDEZ ORO,14465.526948041925,16064.16
2020-06-01,ESTACION FERNANDEZ ORO,14191.126401518572,15017.39
2020-07-01,ESTACION FERNANDEZ ORO,13921.931034728737,14378.25
2020-08-01,ESTACION FERNANDEZ ORO,13657.842109170628,14012.59
2020-09-01,ESTACION FERNANDEZ ORO,13398.762759340741,13335.59
2020-10-01,ESTACION FERNANDEZ ORO,13144.597957204434,13344.58
2020-11-01,ESTACION FERNANDEZ ORO,12895.254477340453,12076.23
2020-12-01,ESTACION FERNANDEZ ORO,12650.640862746657,11129.48
2021-01-01,ESTACION FERNANDEZ ORO,12410.667391294377,11383.57
2021-02-01,ESTACION FERNANDEZ ORO,12175.246042819108,9840.07
2021-03-01,ESTACION FERNANDEZ ORO,11944.290466835479,10595.88
2021-04-01,ESTACION FERNANDEZ ORO,11717.71595086463,10547.37
2021-05-01,ESTACION FERNANDEZ ORO,11495.439389362406,10882.53
2021-06-01,ESTACION FERNANDEZ ORO,11277.37925323697,10504.43
2021-07-01,ESTACION FERNANDEZ ORO,11063.455559944627,11246.54
2021-08-01,ESTACION FERNANDEZ ORO,10853.589867056462,10855.46
2021-09-01,ESTACION FERNANDEZ ORO,10647.70515142928,10235.52
2021-10-01,ESTACION FERNANDEZ ORO,10445.725919704073,10397.05
2021-11-01,ESTACION FERNANDEZ ORO,10247.5780876729,9581.51
2021-12-01,ESTACION FERNANDEZ ORO,10053.188976451878,9843.35
2022-01-01,ESTACION FERNANDEZ ORO,9862.487285823168,9367.14
2022-02-01,ESTACION FERNANDEZ ORO,9675.403068082693,8471.66
2022-03-01,ESTACION FERNANDEZ ORO,9491.867702383908,9065.75
2022-04-01,ESTACION FERNANDEZ ORO,9311.813869568281,8609.88
2022-05-01,ESTACION FERNANDEZ ORO,9135.175527473188,9539.47
2022-06-01,ESTACION FERNANDEZ ORO,8961.887886708237,8885.77
2022-07-01,ESTACION FERNANDEZ ORO,8791.88738689107,8911.86
2022-08-01,ESTACION FERNANDEZ ORO,8625.111673333968,8466.039999999999
2022-09-01,ESTACION FERNANDEZ ORO,8461.49957417268,8241.18
2022-10-01,ESTACION FERNANDEZ ORO,8300.991077929128,8361.84
2022-11-01,ESTACION FERNANDEZ ORO,8143.5273114997035,7854.2699999999995
2022-12-01,ESTACION FERNANDEZ ORO,7989.05051856113,8000.44
2023-01-01,ESTACION FERNANDEZ ORO,7837.504054924858,7639.03
2023-02-01,ESTACION FERNANDEZ ORO,7688.832301284988,6412.38
2023-03-01,ESTACION FERNANDEZ ORO,7542.980743010511,7367.08
2023-04-01,ESTACION FERNANDEZ ORO,7399.895883034732,7310.2
2023-05-01,ESTACION FERNANDEZ ORO,7259.525239091733,7209.36
2023-06-01,ESTACION FERNANDEZ ORO,7121.817324466325,6929.19
2023-07-01,ESTACION FERNANDEZ ORO,6986.721629109175,6974.71
2023-08-01,ESTACION FERNANDEZ ORO,6854.188601110153,6916.0199999999995
2023-09-01,ESTACION FERNANDEZ ORO,6724.169628523119,6593.21
2023-10-01,ESTACION FERNANDEZ ORO,6596.617021535485,6853.92
2023-11-01,ESTACION FERNANDEZ ORO,6471.483994976006,6312.14
2023-12-01,ESTACION FERNANDEZ ORO,6348.724651154378,6445.15
2024-01-01,ESTACION FERNANDEZ ORO,6228.293963026373,6265.15
2024-02-01,ESTACION FERNANDEZ ORO,6110.1477576783,5485.41
2024-03-01,ESTACION FERNANDEZ ORO,5994.242700124771,5834.42
2024-04-01,ESTACION FERNANDEZ ORO,5880.536277413797,5592.21
2024-05-01,ESTACION FERNANDEZ ORO,5768.986783033412,5671.23
2024-06-01,ESTACION FERNANDEZ ORO,5659.5533135570295,5719.65
2024-07-01,ESTACION FERNANDEZ ORO,5552.195705637704,5732.85
2024-08-01,ESTACION FERNANDEZ ORO,5446.874593627034,5576.91
2024-09-01,ESTACION FERNANDEZ ORO,5343.551346671612,5381.66
2024-10-01,ESTACION FERNANDEZ ORO,5242.188066717427,5228.25
2024-11-01,ESTACION FERNANDEZ ORO,5142.747574609204,5176.41
2024-12-01,ESTACION FERNANDEZ ORO,5045.193396453397,5151.18
2025-01-01,ESTACION FERNANDEZ ORO,4949.489750239895,5046.2300000000005
2025-02-01,ESTACION FERNANDEZ ORO,4855.601532717479,4453.086
2025-03-01,ESTACION FERNANDEZ ORO,4763.494306518266,4906.694
2025-04-01,ESTACION FERNANDEZ ORO,4673.134287526373,4682.897
2025-05-01,ESTACION FERNANDEZ ORO,4584.4883324862,4682.619
2025-06-01,ESTACION FERNANDEZ ORO,4497.523926845775,4480.574
2025-07-01,ESTACION FERNANDEZ ORO,4412.209172830694,4604.751
2025-08-01,ESTACION FERNANDEZ ORO,4328.512777744296,4615.67
2025-09-01,ESTACION FERNANDEZ ORO,4246.404042489778,4576.96
2025-10-01,ESTACION FERNANDEZ ORO,4165.852850310025,4724.926
2025-11-01,ESTACION FERNANDEZ ORO,4086.8296643651984,4309.386
2025-12-01,ESTACION FERNANDEZ ORO,4009.3054822355466,4573.574
2026-01-01,ESTACION FERNANDEZ ORO,3933.2518775286953,4530.238
2026-02-01,ESTACION FERNANDEZ ORO,3858.640954456256,4089.709
