ds,yhat,yhat_lower,yhat_upper,deposit,actual
2006-01-01,-10523.172308614172,-32591.183715308278,11569.431617415525,LOMA CAMPANA,0.0
2006-02-01,-9234.62309385374,-30709.001471865133,12245.384877737051,LOMA CAMPANA,0.0
2006-03-01,-10065.480614075283,-29197.43308528091,12008.657293030852,LOMA CAMPANA,0.0
2006-04-01,-9193.609954511752,-30338.046427346744,11546.484783098407,LOMA CAMPANA,0.0
2006-05-01,-9125.43309539734,-29565.48492926058,12895.360990205663,LOMA CAMPANA,0.0
2006-06-01,-8749.674925368969,-30672.329759545133,12924.813412423164,LOMA CAMPANA,0.0
2006-07-01,-8856.569529573482,-30399.282839968633,14275.980555490994,LOMA CAMPANA,0.0
2006-08-01,-8772.167421976817,-29441.025429275025,13236.171741870485,LOMA CAMPANA,0.0
2006-09-01,-8561.547494491457,-30225.302479814116,14074.783762706671,LOMA CAMPANA,0.0
2006-10-01,-8478.011175055757,-30339.49820014572,10008.542555641128,LOMA CAMPANA,0.0
2006-11-01,-7317.6750723067,-28115.760223440782,14233.507611788664,LOMA CAMPANA,0.0
2006-12-01,-7127.131851758014,-27219.222454612394,14394.000976631607,LOMA CAMPANA,0.0
2007-01-01,-7205.903538696416,-28883.80574184463,13323.244403415356,LOMA CAMPANA,0.0
2007-02-01,-6245.454297268204,-26654.445010001185,14175.735650233955,LOMA CAMPANA,0.0
2007-03-01,-6732.108544668365,-28402.179441800068,14413.230790597712,LOMA CAMPANA,0.0
2007-04-01,-6059.702418314449,-27049.99590044907,16703.894022804558,LOMA CAMPANA,0.0
2007-05-01,-5922.528201638551,-27304.464432869852,15582.871746063222,LOMA CAMPANA,0.0
2007-06-01,-5582.840508457786,-25067.795826346875,15429.350660099552,LOMA CAMPANA,0.0
2007-07-01,-5554.750010321638,-26370.57278254659,17311.00481373868,LOMA CAMPANA,0.0
2007-08-01,-5394.833393777454,-26769.336358309003,15894.309262213123,LOMA CAMPANA,0.0
2007-09-01,-5154.490164882769,-27119.225232165307,15528.090625637526,LOMA CAMPANA,0.0
2007-10-01,-4989.755080506371,-26834.92422349159,15153.721840369828,LOMA CAMPANA,0.0
2007-11-01,-4200.254361361448,-25263.569443170836,15927.408614223606,LOMA CAMPANA,0.0
2007-12-01,-3982.9398338324986,-25984.036277504627,18574.470306874595,LOMA CAMPANA,0.0
